date,close,open,high,low
03/09/2021,0.666,0.666,0.666,0.666
02/09/2021,0.666,0.666,0.666,0.666
01/09/2021,0.766,0.766,0.766,0.766
31/08/2021,0.767,0.767,0.767,0.767
30/08/2021,0.774,0.774,0.774,0.774
27/08/2021,0.748,0.748,0.748,0.748
26/08/2021,0.738,0.738,0.738,0.738
25/08/2021,0.749,0.749,0.749,0.749
24/08/2021,0.738,0.738,0.738,0.738
23/08/2021,0.742,0.742,0.742,0.742
20/08/2021,0.772,0.762,0.772,0.762
19/08/2021,0.766,0.775,0.775,0.766
18/08/2021,0.783,0.783,0.783,0.783
17/08/2021,0.782,0.784,0.784,0.782
16/08/2021,0.784,0.784,0.784,0.784
13/08/2021,0.785,0.785,0.785,0.785
12/08/2021,0.788,0.788,0.788,0.788
11/08/2021,0.801,0.801,0.801,0.801
10/08/2021,0.828,0.828,0.828,0.828
09/08/2021,0.81,0.81,0.81,0.81
06/08/2021,0.821,0.811,0.821,0.811
05/08/2021,0.841,0.851,0.851,0.841
04/08/2021,0.861,0.861,0.861,0.861
03/08/2021,0.832,0.832,0.832,0.832
02/08/2021,0.877,0.877,0.877,0.877
30/07/2021,0.874,0.874,0.874,0.874
29/07/2021,0.871,0.871,0.871,0.871
28/07/2021,0.879,0.879,0.879,0.879
27/07/2021,0.881,0.881,0.881,0.881
26/07/2021,0.875,0.875,0.875,0.875
23/07/2021,0.868,0.868,0.868,0.868
22/07/2021,0.866,0.866,0.866,0.866
21/07/2021,0.877,0.877,0.877,0.877
20/07/2021,0.872,0.872,0.872,0.872
19/07/2021,0.865,0.865,0.865,0.865
16/07/2021,0.876,0.876,0.877,0.876
15/07/2021,0.852,0.852,0.852,0.851
14/07/2021,0.86,0.86,0.86,0.86
13/07/2021,0.87,0.87,0.87,0.869
12/07/2021,0.882,0.882,0.882,0.882
09/07/2021,0.872,0.872,0.872,0.872
08/07/2021,0.89,0.89,0.89,0.89
07/07/2021,0.912,0.912,0.912,0.912
06/07/2021,0.921,0.921,0.921,0.921
05/07/2021,0.921,0.921,0.921,0.921
02/07/2021,0.898,0.898,0.898,0.898
01/07/2021,0.916,0.916,0.916,0.916
30/06/2021,0.915,0.915,0.915,0.915
29/06/2021,0.914,0.914,0.914,0.913
28/06/2021,0.914,0.914,0.914,0.914
25/06/2021,0.914,0.908,0.914,0.908
24/06/2021,0.908,0.911,0.911,0.908
23/06/2021,0.911,0.912,0.912,0.911
22/06/2021,0.912,0.9,0.912,0.9
21/06/2021,0.9,0.902,0.902,0.9
18/06/2021,0.903,0.903,0.903,0.903
17/06/2021,0.903,0.908,0.908,0.903
16/06/2021,0.908,0.918,0.918,0.908
15/06/2021,0.918,0.907,0.918,0.907
14/06/2021,0.907,0.907,0.907,0.907
11/06/2021,0.9,0.917,0.917,0.9
10/06/2021,0.917,0.917,0.917,0.917
09/06/2021,0.917,0.903,0.917,0.903
08/06/2021,0.903,0.91,0.91,0.903
07/06/2021,0.91,0.941,0.941,0.91
04/06/2021,0.941,0.91,0.941,0.91
03/06/2021,0.91,0.915,0.915,0.91
02/06/2021,0.915,0.914,0.915,0.914
01/06/2021,0.915,0.921,0.921,0.915
31/05/2021,0.921,0.934,0.934,0.921
28/05/2021,0.934,0.937,0.937,0.934
27/05/2021,0.937,0.957,0.957,0.937
26/05/2021,0.957,0.954,0.957,0.954
25/05/2021,0.954,0.854,0.954,0.854
24/05/2021,0.854,0.846,0.854,0.846
21/05/2021,0.846,0.851,0.851,0.846
20/05/2021,0.851,0.851,0.851,0.851
19/05/2021,0.851,0.843,0.851,0.843
18/05/2021,0.844,0.83,0.844,0.83
17/05/2021,0.83,0.82,0.83,0.82
14/05/2021,0.82,0.792,0.82,0.792
13/05/2021,0.792,0.814,0.814,0.792
12/05/2021,0.814,0.781,0.814,0.781
11/05/2021,0.781,0.806,0.806,0.781
10/05/2021,0.806,0.817,0.817,0.806
07/05/2021,0.817,0.779,0.817,0.779
06/05/2021,0.779,0.788,0.788,0.779
05/05/2021,0.788,0.769,0.788,0.769
04/05/2021,0.769,0.793,0.793,0.769
03/05/2021,0.62,0.622,0.622,0.62
30/04/2021,0.622,0.622,0.622,0.622
29/04/2021,0.722,0.715,0.722,0.715
28/04/2021,0.715,0.723,0.723,0.715
27/04/2021,0.723,0.7,0.723,0.7
26/04/2021,0.7,0.7,0.7,0.7
23/04/2021,0.713,0.702,0.713,0.702
22/04/2021,0.702,0.705,0.705,0.702
21/04/2021,0.605,0.605,0.605,0.605
20/04/2021,0.706,0.708,0.708,0.706
19/04/2021,0.707,0.721,0.721,0.707
16/04/2021,0.721,0.729,0.729,0.721
15/04/2021,0.729,0.734,0.734,0.729
14/04/2021,0.734,0.74,0.74,0.734
13/04/2021,0.74,0.732,0.74,0.732
12/04/2021,0.732,0.738,0.738,0.732
09/04/2021,0.738,0.737,0.738,0.737
08/04/2021,0.738,0.738,0.738,0.738
07/04/2021,0.738,0.738,0.738,0.738
06/04/2021,0.738,0.739,0.739,0.738
05/04/2021,0.739,0.739,0.739,0.739
02/04/2021,0.741,0.744,0.744,0.741
01/04/2021,0.744,0.734,0.744,0.734
31/03/2021,0.734,0.734,0.734,0.734
30/03/2021,0.734,0.73,0.734,0.73
29/03/2021,0.73,0.736,0.736,0.73
26/03/2021,0.736,0.735,0.736,0.735
25/03/2021,0.735,0.735,0.735,0.735
24/03/2021,0.744,0.736,0.744,0.736
23/03/2021,0.736,0.736,0.736,0.736
22/03/2021,0.749,0.75,0.75,0.749
19/03/2021,0.75,0.75,0.75,0.75
18/03/2021,0.751,0.736,0.751,0.736
17/03/2021,0.736,0.734,0.736,0.734
16/03/2021,0.734,0.73,0.734,0.73
15/03/2021,0.73,0.72,0.73,0.72
12/03/2021,0.72,0.7,0.72,0.7
11/03/2021,0.7,0.726,0.726,0.7
10/03/2021,0.726,0.725,0.726,0.725
09/03/2021,0.725,0.729,0.729,0.725
08/03/2021,0.729,0.729,0.729,0.729
05/03/2021,0.692,0.711,0.711,0.692
04/03/2021,0.711,0.711,0.711,0.711
03/03/2021,0.711,0.721,0.721,0.711
02/03/2021,0.721,0.756,0.756,0.721
01/03/2021,0.756,0.783,0.783,0.756
26/02/2021,0.783,0.724,0.783,0.724
25/02/2021,0.724,0.654,0.724,0.654
24/02/2021,0.654,0.667,0.667,0.654
23/02/2021,0.667,0.66,0.667,0.66
22/02/2021,0.661,0.707,0.707,0.661
19/02/2021,0.707,0.762,0.762,0.707
18/02/2021,0.762,0.822,0.822,0.762
17/02/2021,0.815,0.822,0.822,0.815
16/02/2021,0.722,0.722,0.722,0.722
